Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"gt2 idler pulley","For the belt",2,0.53,"https://robu.in/product/gt2-6mm-belt-width-20-teeth-5mm-bore-timing-pulley/?gad_source=1&gad_campaignid=17427803012&gbraid=0AAAAADvLFWfECfIPW2tuN61joqL7ZY0VU&gclid=CjwKCAjw6f3RBhApEiwAMaCqWVKlDMXqihM56Yymlv4qVMrdPRVCXIrVCqRnxz62itK97sg2kQJVrxoCbiEQAvD_BwE","robu"
"3d Print","For the print",1,0.00,"https://printlegion.hackclub.com/","#printing-legion"
"M4x20mm","For fixing",10,0.32,"https://onlyscrews.in/products/phillips-pan-head-m4-x-20mm-pack-of-20?currency=INR&country=IN&variant=48468553269561&stkn=6e84ebfba1b8&utm_campaign=BHM&gad_source=1&gad_campaignid=22821627833&gbraid=0AAAAA9sP2ST7Q40pdyVGeNNJtGqMuZi68&gclid=CjwKCAjw6f3RBhApEiwAMaCqWYL7xLe7_4diY_FX4Bno4T9vCA3nc5EcYx7P0kSGXBdAztopWL1bxhoC_mIQAvD_BwE","onlyscrews"
"2040 Slot Aluminium Extrusion","For the mail rail ",1,9.90,"https://robu.in/product/easymech-20x40-6t-slot-aluminium-extrusion-profile-1000-mm/","robu"
"GT2 Timing Belt 280mm Closed-Loop","For the Camera movement",1,0.53,"https://robu.in/product/gt2-timing-belt-280mm-width-6mm-closed-loop-rubber-belt-for-3d-printer/","robu"
"v slot wheels 625zz","For the gantry movement ",8,4.66,"https://robu.in/product/big-plastic-passive-round-wheel-for-3d-printer/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWco6JwSucecTzRg1gelB9BKV&gclid=CjwKCAjw6f3RBhApEiwAMaCqWXAiOFVPxsjIrqBBzW2bcVEKuG1R7DstCEZQOYcVqmW0gECvTKGc6hoC_-oQAvD_BwE","robu"
" 1.3 Inch I2C OLED Display ","To show the motor movement",1,3.39,"https://robu.in/product/1-3-inch-i2c-iic-oled-lcd-module-4pin-with-vcc-gnd-white/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWco6JwSucecTzRg1gelB9BKV&gclid=CjwKCAjw6f3RBhApEiwAMaCqWa99Vg26Nqx1GkIh9AJbUiJtIGV4j7A12wlASYrjLAV8QqWTq0nEthoC1ugQAvD_BwE","robu"
"Stepper Motor Driver","For the Stepper Motor",2,1.84,"https://robu.in/product/drv8825-stepper-motor-driver-with-aluminum-heat-sink/?gad_source=1&gad_campaignid=20381096599&gbraid=0AAAAADvLFWcMZ18vppzcm8vZ5ou3q9_Jm&gclid=CjwKCAjw6f3RBhApEiwAMaCqWdPCIztrpEBNHnPpe16MhEXYy16kntK6GHNcATBFm0KXwsGWij_9exoCw-YQAvD_BwE","robu"
"CNC Shield ","To control the Motor",1,2.97,"https://www.amazon.in/3D-Innovations-CHPSS656-Engraver-Expansion/dp/B07FZ9QCS8","amazon"
"Esp 32","The Main Board",1,4.04,"https://robu.in/product/esp-wroom-32-wifi-bluetooth-networking-smart-component-development-board/?gad_source=1&gad_campaignid=17413441824&gbraid=0AAAAADvLFWddE3F8C4cXysOTCOXKAjfbB&gclid=CjwKCAjw6f3RBhApEiwAMaCqWTdXkMBVs7eB3xLXKns1G1fxhjQQC909QfHJ2wubXEN-UeoWEu-DzRoCRF8QAvD_BwE","robu"
"Nema 17 Bipolar Stepper Motor","For the slider movement",2,19.94,"https://robu.in/product/nema17-2-6-kg-cm-stepper-motor/","robu"
